trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.005, 'e': 0.8146473164114145}",20,0,-84.30121179963035,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
43,False,"{'a': 0.005, 'e': 0.8105842459701871}",20,0,-43.29933036516976,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.005, 'e': 0.8065414401773269}",20,11,-12.826178619424441,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.005, 'e': 0.8025187979624785}",30,0,-67.29176750056808,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.005, 'e': 0.7985162187593771}",25,0,-97.1674889390208,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.005, 'e': 0.794533602503334}",20,0,-100.52046607282327,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.005, 'e': 0.7905708496287356}",30,0,-111.47424707120723,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
49,False,"{'a': 0.005, 'e': 0.7866278610665535}",25,11,-54.07535538328373,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.005, 'e': 0.7827045382418681}",20,0,-87.9196528121284,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.005, 'e': 0.7788007830714049}",25,0,-112.32726103041196,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.005, 'e': 0.774916497961081}",25,0,-104.4153151407332,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",1
53,False,"{'a': 0.005, 'e': 0.7710515858035663}",20,0,-19.84233330955249,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.005, 'e': 0.7672059499758557}",25,12,-42.143299342204095,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.005, 'e': 0.7633794943368531}",25,0,-64.18518440753734,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.005, 'e': 0.7595721232249685}",25,0,-83.72762748260685,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.005, 'e': 0.7557837414557255}",25,4,-22.819156019119863,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.005, 'e': 0.7520142543193826}",30,0,-153.87690899962,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
59,False,"{'a': 0.005, 'e': 0.7482635675785653}",30,0,-75.38346788032703,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.005, 'e': 0.7445315874659094}",20,0,-46.583283099594006,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.005, 'e': 0.7408182206817179}",20,0,-60.451701086726615,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.005, 'e': 0.7371233743916278}",25,11,-50.69121263376911,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.005, 'e': 0.7334469562242892}",20,0,-193.26014410037757,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
64,False,"{'a': 0.005, 'e': 0.7297888742690568}",30,0,-90.46340934942558,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.005, 'e': 0.7261490370736909}",35,6,-74.90510818282907,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 1}",1
66,False,"{'a': 0.005, 'e': 0.7225273536420722}",25,17,2.333392399333221,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.005, 'e': 0.7189237334319262}",25,0,-22.122661058731254,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.005, 'e': 0.7153380863525599}",30,20,-26.577264830235183,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.005, 'e': 0.7117703227626097}",20,0,-84.47391719287273,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.005, 'e': 0.7082203534678}",25,0,-74.2587618762682,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.7046880897187134}",20,1,-7.550599905608187,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.005, 'e': 0.7011734432085724}",30,16,1.665455904587883,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.005, 'e': 0.697676326071031}",20,12,-1.6147238173379392,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.005, 'e': 0.6941966508779789}",30,5,-108.77218476594044,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",1
75,False,"{'a': 0.005, 'e': 0.6907343306373547}",25,7,18.29009839534136,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.005, 'e': 0.6872892787909722}",20,0,-163.8555217968373,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
77,False,"{'a': 0.005, 'e': 0.6838614092123558}",25,0,-54.65464442009171,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.005, 'e': 0.6804506362045877}",25,0,-104.43730718113412,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.005, 'e': 0.6770568744981647}",20,16,9.401679722049188,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.005, 'e': 0.6736800392488677}",20,4,8.86974249235125,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.005, 'e': 0.6703200460356393}",20,0,-27.879426562180406,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.005, 'e': 0.6669768108584744}",25,0,23.498386085754493,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.005, 'e': 0.6636502501363194}",25,0,-56.553583044073946,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
84,False,"{'a': 0.005, 'e': 0.6603402807049829}",25,10,-59.40109409667503,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.005, 'e': 0.6570468198150567}",20,0,-134.30497686523756,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
86,False,"{'a': 0.005, 'e': 0.6537697851298473}",25,0,-166.31390588030104,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
87,False,"{'a': 0.005, 'e': 0.6505090947233165}",25,0,-61.53968653841078,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
88,False,"{'a': 0.005, 'e': 0.6472646670780347}",30,0,-82.13661800651369,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
89,False,"{'a': 0.005, 'e': 0.6440364210831414}",20,0,-114.38519654842243,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.005, 'e': 0.6408242760323187}",25,3,-120.3372822069715,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 2}",1
91,False,"{'a': 0.005, 'e': 0.6376281516217733}",25,10,-13.501921827777979,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.005, 'e': 0.6344479679482282}",25,0,-100.72546217080634,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
